equipmentId,chuckTemp,processPressure,recipeName,lotId,alarmCode
101,36.28,12.335,ETCH-B,LOT-E001,0
102,36.36,12.370,ETCH-C,LOT-E002,0
103,36.44,12.405,ETCH-D,LOT-E003,0
104,36.52,12.440,ETCH-E,LOT-E004,0
105,36.60,12.475,ETCH-A,LOT-E005,0
106,36.68,12.510,ETCH-B,LOT-E006,0
107,36.76,12.545,ETCH-C,LOT-E007,0
108,36.84,12.580,ETCH-D,LOT-E008,0
109,36.92,12.615,ETCH-E,LOT-E009,0
110,37.00,12.650,ETCH-A,LOT-E010,0
111,37.08,12.685,ETCH-B,LOT-E011,2
112,37.16,12.720,ETCH-C,LOT-E012,0
113,37.24,12.755,ETCH-D,LOT-E013,0
114,37.32,12.790,ETCH-E,LOT-E014,0
115,37.40,12.825,ETCH-A,LOT-E015,0
116,37.48,12.860,ETCH-B,LOT-E016,0
117,36.20,12.895,ETCH-C,LOT-E017,0
118,36.28,12.930,ETCH-D,LOT-E018,0
119,36.36,12.965,ETCH-E,LOT-E019,0
120,36.44,13.000,ETCH-A,LOT-E020,0
121,36.52,13.035,ETCH-B,LOT-E021,0
122,36.60,13.070,ETCH-C,LOT-E022,3
123,36.68,12.300,ETCH-D,LOT-E023,0
124,36.76,12.335,ETCH-E,LOT-E024,0
125,36.84,12.370,ETCH-A,LOT-E025,0
126,36.92,12.405,ETCH-B,LOT-E026,0
127,37.00,12.440,ETCH-C,LOT-E027,0
128,37.08,12.475,ETCH-D,LOT-E028,0
129,37.16,12.510,ETCH-E,LOT-E029,0
130,37.24,12.545,ETCH-A,LOT-E030,0
131,37.32,12.580,ETCH-B,LOT-E031,0
132,37.40,12.615,ETCH-C,LOT-E032,0
133,37.48,12.650,ETCH-D,LOT-E033,2
134,36.20,12.685,ETCH-E,LOT-E034,0
135,36.28,12.720,ETCH-A,LOT-E035,0
136,36.36,12.755,ETCH-B,LOT-E036,0
137,36.44,12.790,ETCH-C,LOT-E037,0
138,36.52,12.825,ETCH-D,LOT-E038,0
139,36.60,12.860,ETCH-E,LOT-E039,0
140,36.68,12.895,ETCH-A,LOT-E040,0
141,36.76,12.930,ETCH-B,LOT-E041,0
142,36.84,12.965,ETCH-C,LOT-E042,0
143,36.92,13.000,ETCH-D,LOT-E043,0
144,37.00,13.035,ETCH-E,LOT-E044,3
145,37.08,13.070,ETCH-A,LOT-E045,0
146,37.16,12.300,ETCH-B,LOT-E046,0
147,37.24,12.335,ETCH-C,LOT-E047,0
148,37.32,12.370,ETCH-D,LOT-E048,0
149,37.40,12.405,ETCH-E,LOT-E049,0
150,37.48,12.440,ETCH-A,LOT-E050,0
151,36.20,12.475,ETCH-B,LOT-E051,0
152,36.28,12.510,ETCH-C,LOT-E052,0
153,36.36,12.545,ETCH-D,LOT-E053,0
154,36.44,12.580,ETCH-E,LOT-E054,0
155,36.52,12.615,ETCH-A,LOT-E055,2
156,36.60,12.650,ETCH-B,LOT-E056,0
157,36.68,12.685,ETCH-C,LOT-E057,0
158,36.76,12.720,ETCH-D,LOT-E058,0
159,36.84,12.755,ETCH-E,LOT-E059,0
160,36.92,12.790,ETCH-A,LOT-E060,0
161,37.00,12.825,ETCH-B,LOT-E061,0
162,37.08,12.860,ETCH-C,LOT-E062,0
163,37.16,12.895,ETCH-D,LOT-E063,0
164,37.24,12.930,ETCH-E,LOT-E064,0
165,37.32,12.965,ETCH-A,LOT-E065,0
166,37.40,13.000,ETCH-B,LOT-E066,3
167,37.48,13.035,ETCH-C,LOT-E067,0
168,36.20,13.070,ETCH-D,LOT-E068,0
169,36.28,12.300,ETCH-E,LOT-E069,0
170,36.36,12.335,ETCH-A,LOT-E070,0
171,36.44,12.370,ETCH-B,LOT-E071,0
172,36.52,12.405,ETCH-C,LOT-E072,0
173,36.60,12.440,ETCH-D,LOT-E073,0
174,36.68,12.475,ETCH-E,LOT-E074,0
175,36.76,12.510,ETCH-A,LOT-E075,0
176,36.84,12.545,ETCH-B,LOT-E076,0
177,36.92,12.580,ETCH-C,LOT-E077,2
178,37.00,12.615,ETCH-D,LOT-E078,0
179,37.08,12.650,ETCH-E,LOT-E079,0
180,37.16,12.685,ETCH-A,LOT-E080,0
181,37.24,12.720,ETCH-B,LOT-E081,0
182,37.32,12.755,ETCH-C,LOT-E082,0
183,37.40,12.790,ETCH-D,LOT-E083,0
184,37.48,12.825,ETCH-E,LOT-E084,0
