lotId,waferCount,exposureDose,focusOffset,maskName,equipmentId
LOT-P001,23,35.89,-2,MASK-B,201
LOT-P002,24,35.98,-1,MASK-C,202
LOT-P003,25,36.07,0,MASK-D,203
LOT-P004,22,36.16,1,MASK-E,204
LOT-P005,23,36.25,2,MASK-F,205
LOT-P006,24,36.34,3,MASK-A,206
LOT-P007,25,36.43,-3,MASK-B,207
LOT-P008,22,36.52,-2,MASK-C,208
LOT-P009,23,36.61,-1,MASK-D,209
LOT-P010,24,36.70,0,MASK-E,210
LOT-P011,25,36.79,1,MASK-F,211
LOT-P012,22,36.88,2,MASK-A,212
LOT-P013,23,36.97,3,MASK-B,213
LOT-P014,24,37.06,-3,MASK-C,214
LOT-P015,25,37.15,-2,MASK-D,215
LOT-P016,22,37.24,-1,MASK-E,216
LOT-P017,23,37.33,0,MASK-F,217
LOT-P018,24,37.42,1,MASK-A,218
LOT-P019,25,35.80,2,MASK-B,219
LOT-P020,22,35.89,3,MASK-C,220
LOT-P021,23,35.98,-3,MASK-D,221
LOT-P022,24,36.07,-2,MASK-E,222
LOT-P023,25,36.16,-1,MASK-F,223
LOT-P024,22,36.25,0,MASK-A,224
LOT-P025,23,36.34,1,MASK-B,225
LOT-P026,24,36.43,2,MASK-C,226
LOT-P027,25,36.52,3,MASK-D,227
LOT-P028,22,36.61,-3,MASK-E,228
LOT-P029,23,36.70,-2,MASK-F,229
LOT-P030,24,36.79,-1,MASK-A,230
LOT-P031,25,36.88,0,MASK-B,231
LOT-P032,22,36.97,1,MASK-C,232
LOT-P033,23,37.06,2,MASK-D,233
LOT-P034,24,37.15,3,MASK-E,234
LOT-P035,25,37.24,-3,MASK-F,235
LOT-P036,22,37.33,-2,MASK-A,236
LOT-P037,23,37.42,-1,MASK-B,237
LOT-P038,24,35.80,0,MASK-C,238
LOT-P039,25,35.89,1,MASK-D,239
LOT-P040,22,35.98,2,MASK-E,240
LOT-P041,23,36.07,3,MASK-F,241
LOT-P042,24,36.16,-3,MASK-A,242
LOT-P043,25,36.25,-2,MASK-B,243
LOT-P044,22,36.34,-1,MASK-C,244
LOT-P045,23,36.43,0,MASK-D,245
LOT-P046,24,36.52,1,MASK-E,246
LOT-P047,25,36.61,2,MASK-F,247
LOT-P048,22,36.70,3,MASK-A,248
LOT-P049,23,36.79,-3,MASK-B,249
LOT-P050,24,36.88,-2,MASK-C,250
LOT-P051,25,36.97,-1,MASK-D,251
LOT-P052,22,37.06,0,MASK-E,252
LOT-P053,23,37.15,1,MASK-F,253
LOT-P054,24,37.24,2,MASK-A,254
LOT-P055,25,37.33,3,MASK-B,255
LOT-P056,22,37.42,-3,MASK-C,256
LOT-P057,23,35.80,-2,MASK-D,257
LOT-P058,24,35.89,-1,MASK-E,258
LOT-P059,25,35.98,0,MASK-F,259
LOT-P060,22,36.07,1,MASK-A,260
LOT-P061,23,36.16,2,MASK-B,261
LOT-P062,24,36.25,3,MASK-C,262
LOT-P063,25,36.34,-3,MASK-D,263
LOT-P064,22,36.43,-2,MASK-E,264
LOT-P065,23,36.52,-1,MASK-F,265
LOT-P066,24,36.61,0,MASK-A,266
LOT-P067,25,36.70,1,MASK-B,267
LOT-P068,22,36.79,2,MASK-C,268
LOT-P069,23,36.88,3,MASK-D,269
LOT-P070,24,36.97,-3,MASK-E,270
LOT-P071,25,37.06,-2,MASK-F,271
LOT-P072,22,37.15,-1,MASK-A,272
LOT-P073,23,37.24,0,MASK-B,273
LOT-P074,24,37.33,1,MASK-C,274
LOT-P075,25,37.42,2,MASK-D,275
LOT-P076,22,35.80,3,MASK-E,276
LOT-P077,23,35.89,-3,MASK-F,277
LOT-P078,24,35.98,-2,MASK-A,278
LOT-P079,25,36.07,-1,MASK-B,279
LOT-P080,22,36.16,0,MASK-C,280
LOT-P081,23,36.25,1,MASK-D,281
LOT-P082,24,36.34,2,MASK-E,282
LOT-P083,25,36.43,3,MASK-F,283
LOT-P084,22,36.52,-3,MASK-A,284
LOT-P085,23,36.61,-2,MASK-B,285
LOT-P086,24,36.70,-1,MASK-C,286
LOT-P087,25,36.79,0,MASK-D,287
LOT-P088,22,36.88,1,MASK-E,288
LOT-P089,23,36.97,2,MASK-F,289
LOT-P090,24,37.06,3,MASK-A,290
LOT-P091,25,37.15,-3,MASK-B,291
LOT-P092,22,37.24,-2,MASK-C,292
LOT-P093,23,37.33,-1,MASK-D,293
LOT-P094,24,37.42,0,MASK-E,294
LOT-P095,25,35.80,1,MASK-F,295
LOT-P096,22,35.89,2,MASK-A,296
LOT-P097,23,35.98,3,MASK-B,297
LOT-P098,24,36.07,-3,MASK-C,298
LOT-P099,25,36.16,-2,MASK-D,299
LOT-P100,22,36.25,-1,MASK-E,300
LOT-P101,23,36.34,0,MASK-F,301
LOT-P102,24,36.43,1,MASK-A,302
LOT-P103,25,36.52,2,MASK-B,303
LOT-P104,22,36.61,3,MASK-C,304
LOT-P105,23,36.70,-3,MASK-D,305
LOT-P106,24,36.79,-2,MASK-E,306
LOT-P107,25,36.88,-1,MASK-F,307
LOT-P108,22,36.97,0,MASK-A,308
LOT-P109,23,37.06,1,MASK-B,309
LOT-P110,24,37.15,2,MASK-C,310
LOT-P111,25,37.24,3,MASK-D,311
LOT-P112,22,37.33,-3,MASK-E,312
LOT-P113,23,37.42,-2,MASK-F,313
LOT-P114,24,35.80,-1,MASK-A,314
LOT-P115,25,35.89,0,MASK-B,315
LOT-P116,22,35.98,1,MASK-C,316
LOT-P117,23,36.07,2,MASK-D,317
LOT-P118,24,36.16,3,MASK-E,318
LOT-P119,25,36.25,-3,MASK-F,319
LOT-P120,22,36.34,-2,MASK-A,320
