robotName,axisNo,motorRpm,carrierId,errorCount,equipmentId
RBT-01,1,991,FOUP-001,0,301
RBT-02,2,992,FOUP-002,0,302
RBT-03,3,993,FOUP-003,0,303
RBT-04,4,994,FOUP-004,0,304
RBT-05,1,995,FOUP-005,0,305
RBT-06,2,996,FOUP-006,0,306
RBT-07,3,997,FOUP-007,0,307
RBT-08,4,998,FOUP-008,0,308
RBT-09,1,999,FOUP-009,0,309
RBT-10,2,1000,FOUP-010,0,310
RBT-11,3,1001,FOUP-011,0,311
RBT-12,4,1002,FOUP-012,0,312
RBT-01,1,1003,FOUP-013,-1,313
RBT-02,2,1004,FOUP-014,0,314
RBT-03,3,1005,FOUP-015,0,315
RBT-04,4,1006,FOUP-016,0,316
RBT-05,1,1007,FOUP-017,0,317
RBT-06,2,1008,FOUP-018,0,318
RBT-07,3,1009,FOUP-019,0,319
RBT-08,4,1010,FOUP-020,0,320
RBT-09,1,1011,FOUP-021,0,321
RBT-10,2,1012,FOUP-022,0,322
RBT-11,3,1013,FOUP-023,0,323
RBT-12,4,1014,FOUP-024,0,324
RBT-01,1,1015,FOUP-025,0,325
RBT-02,2,1016,FOUP-026,2,326
RBT-03,3,1017,FOUP-027,0,327
RBT-04,4,1018,FOUP-028,0,328
RBT-05,1,1019,FOUP-029,0,329
RBT-06,2,1020,FOUP-030,0,330
RBT-07,3,990,FOUP-031,0,331
RBT-08,4,991,FOUP-032,0,332
RBT-09,1,992,FOUP-033,0,333
RBT-10,2,993,FOUP-034,0,334
RBT-11,3,994,FOUP-035,0,335
RBT-12,4,995,FOUP-036,0,336
RBT-01,1,996,FOUP-037,0,337
RBT-02,2,997,FOUP-038,0,338
RBT-03,3,998,FOUP-039,-1,339
RBT-04,4,999,FOUP-040,0,340
RBT-05,1,1000,FOUP-041,0,341
RBT-06,2,1001,FOUP-042,0,342
RBT-07,3,1002,FOUP-043,0,343
RBT-08,4,1003,FOUP-044,0,344
RBT-09,1,1004,FOUP-045,0,345
RBT-10,2,1005,FOUP-046,0,346
RBT-11,3,1006,FOUP-047,0,347
RBT-12,4,1007,FOUP-048,0,348
RBT-01,1,1008,FOUP-049,0,349
RBT-02,2,1009,FOUP-050,0,350
RBT-03,3,1010,FOUP-051,0,351
RBT-04,4,1011,FOUP-052,2,352
RBT-05,1,1012,FOUP-053,0,353
RBT-06,2,1013,FOUP-054,0,354
RBT-07,3,1014,FOUP-055,0,355
RBT-08,4,1015,FOUP-056,0,356
RBT-09,1,1016,FOUP-057,0,357
RBT-10,2,1017,FOUP-058,0,358
RBT-11,3,1018,FOUP-059,0,359
RBT-12,4,1019,FOUP-060,0,360
RBT-01,1,1020,FOUP-061,0,361
RBT-02,2,990,FOUP-062,0,362
RBT-03,3,991,FOUP-063,0,363
RBT-04,4,992,FOUP-064,0,364
RBT-05,1,993,FOUP-065,-1,365
RBT-06,2,994,FOUP-066,0,366
RBT-07,3,995,FOUP-067,0,367
RBT-08,4,996,FOUP-068,0,368
RBT-09,1,997,FOUP-069,0,369
RBT-10,2,998,FOUP-070,0,370
RBT-11,3,999,FOUP-071,0,371
RBT-12,4,1000,FOUP-072,0,372
RBT-01,1,1001,FOUP-073,0,373
RBT-02,2,1002,FOUP-074,0,374
RBT-03,3,1003,FOUP-075,0,375
RBT-04,4,1004,FOUP-076,0,376
RBT-05,1,1005,FOUP-077,0,377
RBT-06,2,1006,FOUP-078,2,378
RBT-07,3,1007,FOUP-079,0,379
RBT-08,4,1008,FOUP-080,0,380
RBT-09,1,1009,FOUP-081,0,381
RBT-10,2,1010,FOUP-082,0,382
RBT-11,3,1011,FOUP-083,0,383
RBT-12,4,1012,FOUP-084,0,384
RBT-01,1,1013,FOUP-085,0,385
RBT-02,2,1014,FOUP-086,0,386
RBT-03,3,1015,FOUP-087,0,387
RBT-04,4,1016,FOUP-088,0,388
RBT-05,1,1017,FOUP-089,0,389
RBT-06,2,1018,FOUP-090,0,390
RBT-07,3,1019,FOUP-091,-1,391
RBT-08,4,1020,FOUP-092,0,392
RBT-09,1,990,FOUP-093,0,393
RBT-10,2,991,FOUP-094,0,394
RBT-11,3,992,FOUP-095,0,395
RBT-12,4,993,FOUP-096,0,396
RBT-01,1,994,FOUP-097,0,397
RBT-02,2,995,FOUP-098,0,398
RBT-03,3,996,FOUP-099,0,399
RBT-04,4,997,FOUP-100,0,400
RBT-05,1,998,FOUP-101,0,401
RBT-06,2,999,FOUP-102,0,402
RBT-07,3,1000,FOUP-103,0,403
RBT-08,4,1001,FOUP-104,2,404
RBT-09,1,1002,FOUP-105,0,405
RBT-10,2,1003,FOUP-106,0,406
RBT-11,3,1004,FOUP-107,0,407
RBT-12,4,1005,FOUP-108,0,408
RBT-01,1,1006,FOUP-109,0,409
RBT-02,2,1007,FOUP-110,0,410
RBT-03,3,1008,FOUP-111,0,411
RBT-04,4,1009,FOUP-112,0,412
RBT-05,1,1010,FOUP-113,0,413
RBT-06,2,1011,FOUP-114,0,414
RBT-07,3,1012,FOUP-115,0,415
RBT-08,4,1013,FOUP-116,0,416
RBT-09,1,1014,FOUP-117,-1,417
RBT-10,2,1015,FOUP-118,0,418
RBT-11,3,1016,FOUP-119,0,419
RBT-12,4,1017,FOUP-120,0,420
